"Nome.Carros","Quilometragem","Avaliação","Reviews","Certificado","preço.drop","preço"
"72","2019 INFINITI QX60 Luxe","41,218 mi.",4.7,"(445 reviews)","Used","$2,371 price drop","$30,446"
"73","2012 Ford Expedition EL King Ranch","48,770 mi.",4.3,"(0 reviews)","Used","$497 price drop","$15,999"
"74","2017 Cadillac XT5 Luxury","148,738 mi.",4.5,"(1,221 reviews)","Used","$2,990 price drop","$24,497"
"75","2020 Acura TLX V6 w/Technology Package","85,658 mi.",4.4,"(273 reviews)","Used","$1,558 price drop","$33,634"
"76","2020 Jeep Grand Cherokee Limited","34,181 mi.",4.9,"(2,421 reviews)","Used","$770 price drop","$46,529"
"77","2021 Porsche Macan Base","23,151 mi.",4.8,"(547 reviews)","Used","$2,084 price drop","$59,995"
"78","2019 Mercedes-Benz GLC 300 Base 4MATIC","16,357 mi.",4.8,"(1,087 reviews)","Used","$1,000 price drop","$34,885"
"79","2020 Lincoln Aviator Reserve AWD","18,337 mi.",2.9,"(158 reviews)","Used","$995 price drop","$59,962"
"80","2019 Chevrolet Traverse LS","12,707 mi.",4.8,"(121 reviews)","Used","$1,353 price drop","$29,881"
"81","2019 BMW M550 i Xdrive","45,498 mi.",4.8,"(42 reviews)","Used","$2,000 price drop","$43,948"
"82","2021 Porsche Macan GTS","38,336 mi.",3.7,"(479 reviews)","Used","$400 price drop","$86,996"
"83","2020 Tesla Model Y Long Range","7,215 mi.",4.4,"(1,783 reviews)","Used","$1,500 price drop","$66,900"
"84","2020 Lexus IS 350 Base","25,801 mi.",4.5,"(54 reviews)","Used","$450 price drop","$27,999"
"85","2016 Acura ILX 2.4L","20,577 mi.",4.8,"(921 reviews)","Used","$1,154 price drop","$17,000"
"86","2017 Ford Escape Titanium","67,492 mi.",3.2,"(739 reviews)","Used","$267 price drop","$22,977"
"87","2017 Lexus GX 460 Base","57,282 mi.",4.7,"(720 reviews)","Used","$2,243 price drop","$37,672"
"88","2019 Mazda CX-5 Touring","81,060 mi.",4.1,"(11 reviews)","Used","$904 price drop","$29,998"
"89","2019 Mercedes-Benz C-Class C 300 4MATIC","19,382 mi.",4.5,"(1,685 reviews)","Used","$360 price drop","$35,992"
"90","2017 Ford Explorer XLT","13,738 mi.",4.6,"(8 reviews)","Used","$1,000 price drop","$26,998"
"91","2019 Mercedes-Benz AMG GLC 43 Base 4MATIC","41,961 mi.",4.3,"(660 reviews)","Used","$3,051 price drop","$51,477"
"92","2020 Lexus RX 450hL Base","12,195 mi.",4.9,"(97 reviews)","Used","$900 price drop","$56,500"
"93","2020 Jeep Grand Cherokee Limited","11,559 mi.",2.9,"(183 reviews)","Used","$1,844 price drop","$43,645"
"94","2016 Chevrolet Corvette Stingray Z51","44,502 mi.",4.8,"(511 reviews)","Used","$1,044 price drop","$58,500"
"95","2017 Mercedes-Benz E-Class E 300 4MATIC","14,163 mi.",4.7,"(42 reviews)","Used","$405 price drop","$31,862"
"96","2019 Lexus RX 350 350","13,990 mi.",4.3,"(1,558 reviews)","Used","$1,000 price drop","$44,994"
"97","2016 Toyota Sienna Limited Premium","27,070 mi.",4.6,"(160 reviews)","Used","$600 price drop","$38,000"
"98","2019 Land Rover Range Rover Velar P250 S","20,054 mi.",4.6,"(310 reviews)","Used","$659 price drop","$49,620"
"99","2020 Jaguar E-PACE SE","16,133 mi.",4.5,"(241 reviews)","Used","$1,500 price drop","$47,994"
"100","2018 Jeep Wrangler Unlimited Sport","43,098 mi.",4.4,"(1,070 reviews)","Used","$405 price drop","Not Priced"
"101","2021 Acura ILX Premium Package","58,324 mi.",4.9,"(1,383 reviews)","Used","$720 price drop","$31,000"
"102","2020 Jaguar E-PACE SE","13,054 mi.",3.2,"(1,760 reviews)","Used","$1,700 price drop","$46,494"
"103","2012 Lexus ES 350 Base","24,991 mi.",4.6,"(239 reviews)","Used","$400 price drop","$18,992"
"104","2021 Toyota Tundra SR5","86,690 mi.",4.7,"(61 reviews)","Used","$375 price drop","$46,326"
"105","2020 Jeep Grand Cherokee Overland","16,258 mi.",4.2,"(9,077 reviews)","Used","$500 price drop","$39,590"
"106","2019 Honda CR-V EX-L","38,679 mi.",4.5,"(86 reviews)","Used","$2,000 price drop","$33,125"
"107","2016 BMW X5 xDrive50i","22,942 mi.",3.7,"(61 reviews)","Used","$500 price drop","$26,600"
"108","2016 Toyota Prius Two","15,490 mi.",4.8,"(450 reviews)","Used","$122 price drop","$21,999"
"109","2019 Honda CR-V EX-L","82,012 mi.",4.7,"(1,913 reviews)","Used","$1,000 price drop","$31,499"
"110","2020 Toyota Camry SE","21,868 mi.",4.6,"(573 reviews)","Used","$1,994 price drop","$28,998"
"111","2018 Jeep Grand Cherokee Limited","17,262 mi.",4.7,"(406 reviews)","Used","$1,000 price drop","$35,368"
"112","2016 Mercedes-Benz C-Class C 300","19,330 mi.",4.5,"(571 reviews)","Used","$200 price drop","$25,745"
"113","2020 Volvo V60 T5 Momentum","54,442 mi.",4.5,"(363 reviews)","Used","$1,001 price drop","$31,988"
"114","2020 RAM 1500 Big Horn","32,305 mi.",4.2,"(380 reviews)","Used","$500 price drop","$46,998"
"115","2021 Mazda CX-5 Grand Touring","22,118 mi.",4.5,"(169 reviews)","Used","$1,334 price drop","$29,034"
"116","2012 Mercedes-Benz S-Class S 550 4MATIC","45,935 mi.",4.6,"(163 reviews)","Used","$500 price drop","$25,695"
"117","2021 GMC Yukon Denali","59,725 mi.",3.8,"(126 reviews)","Used","$111 price drop","$75,900"
"118","2003 Chevrolet Express 3500 ","46,488 mi.",4.8,"(1,686 reviews)","Used","$242 price drop","$18,993"
